MSFT
CDNS
ZM
NVDA
GOOG
AAL
AG
AMC
AMD
APHA
BB
BBBY
BYND
CTRM
EXPR
EZGO
GM
GME
GTE
HIMS
INO
IPOE
IPOF
JAGX
KOSS
LLIT
MRNA
MJ
MSOS
NAKD
NCTY
NOK
NVAX
OPEN
RKT
RLX
RYCEY
SBUX
SHLS
SIEB
SLV
SNDL
SOXL
SRNE
STPK
TGC
TIRX
TR
TRVG
WKHS
XM
ZOM
